,original_language,movie,production_budget,worldwide_gross,studio,movie_id,original_title,start_year,runtime_minutes,genres,averagerating,numvotes
1121,en,Obvious Child,"$1,000,000","$3,324,070",A24,tt2910274,Obvious Child,2014,84.0,"Comedy,Drama,Romance",6.8,21536
1122,en,The Homesman,"$16,000,000","$8,217,571",Saban,tt2398231,The Homesman,2014,122.0,"Drama,Western",6.6,27724
1123,en,Black or White,"$9,000,000","$21,971,021",Rela.,tt2883434,Black or White,2014,121.0,Drama,6.6,10659
1124,en,Black or White,"$9,000,000","$21,971,021",Rela.,tt2883434,Black or White,2014,121.0,Drama,6.6,10659
1125,en,Rudderless,"$5,000,000","$567,219",Gold.,tt1798243,Rudderless,2014,105.0,"Comedy,Drama,Music",7.5,16303
1126,en,While We're Young,"$10,000,000","$17,503,828",A24,tt1791682,While We're Young,2014,97.0,"Comedy,Drama,Mystery",6.3,41327
1127,en,While We're Young,"$10,000,000","$17,503,828",A24,tt1791682,While We're Young,2014,97.0,"Comedy,Drama,Mystery",6.3,41327
1128,en,Mr. Turner,"$14,000,000","$25,187,026",SPC,tt2473794,Mr. Turner,2014,150.0,"Biography,Drama,History",6.8,22661
1129,en,Wish I Was Here,"$6,000,000","$6,591,365",Focus,tt2870708,Wish I Was Here,2014,106.0,"Comedy,Drama",6.7,34907
1130,en,Veronica Mars,"$6,000,000","$3,485,383",WB,tt2771372,Veronica Mars,2014,107.0,"Crime,Drama,Mystery",6.8,46751
1131,en,Million Dollar Arm,"$25,000,000","$39,217,912",BV,tt1647668,Million Dollar Arm,2014,124.0,"Biography,Drama,Sport",7.0,41008
1132,pl,Ida,"$2,600,000","$15,298,355",MBox,tt2718492,Ida,2013,82.0,Drama,7.4,46819
1133,en,Dear White People,"$1,250,000","$5,403,771",RAtt.,tt2235108,Dear White People,2014,108.0,"Comedy,Drama,Romance",6.1,23321
1134,en,Dolphin Tale 2,"$36,000,000","$57,824,533",WB,tt2978462,Dolphin Tale 2,2014,107.0,"Drama,Family",6.4,7579
1135,en,Dom Hemingway,"$7,000,000","$1,857,458",FoxS,tt2402105,Dom Hemingway,2013,93.0,"Comedy,Crime,Drama",6.2,24557
1136,en,Earth to Echo,"$13,000,000","$42,174,545",Rela.,tt2183034,Earth to Echo,2014,91.0,"Adventure,Family,Sci-Fi",5.8,17627
1137,en,A Haunted House 2,"$4,000,000","$21,206,861",ORF,tt2828996,A Haunted House 2,2014,86.0,"Comedy,Fantasy",4.7,18085
1138,en,Jersey Boys,"$40,000,000","$65,282,732",WB,tt1742044,Jersey Boys,2014,134.0,"Biography,Drama,Music",6.8,30410
1139,en,"Alexander and the Terrible, Horrible, No Good, Very Bad Day","$28,000,000","$101,379,287",BV,tt1698641,"Alexander and the Terrible, Horrible, No Good, Very Bad Day",2014,81.0,"Comedy,Family",6.2,37325
1140,en,Top Five,"$12,000,000","$26,001,741",Par.,tt2784678,Top Five,2014,102.0,"Comedy,Romance",6.4,24744
1141,en,Song One,"$6,000,000","$437,089",TFA,tt2182972,Song One,2014,86.0,"Drama,Music",5.8,8559
1142,en,Song One,"$6,000,000","$437,089",TFA,tt2182972,Song One,2014,86.0,"Drama,Music",5.8,8559
1143,en,The Mule,"$50,000,000","$170,857,676",WB,tt0804509,La mula,2013,100.0,"Comedy,Drama",6.2,653
1144,en,The Mule,"$50,000,000","$170,857,676",WB,tt2130270,The Mule,2014,103.0,"Comedy,Crime,Drama",6.3,5788
1145,en,The Mule,"$50,000,000","$170,857,676",WB,tt7959026,The Mule,2018,116.0,"Crime,Drama,Thriller",7.1,58955
1146,en,The Mule,"$50,000,000","$170,857,676",WB,tt0804509,La mula,2013,100.0,"Comedy,Drama",6.2,653
1147,en,The Mule,"$50,000,000","$170,857,676",WB,tt2130270,The Mule,2014,103.0,"Comedy,Crime,Drama",6.3,5788
1148,en,The Mule,"$50,000,000","$170,857,676",WB,tt7959026,The Mule,2018,116.0,"Crime,Drama,Thriller",7.1,58955
1149,en,When the Game Stands Tall,"$15,000,000","$30,138,912",TriS,tt2247476,When the Game Stands Tall,2014,115.0,"Drama,Family,Sport",6.7,14498
